filename,description
607720.zip,Borová u Poličky [607720]
607711.zip,Borová [607711]
607312.zip,Borovany u Boru [607312]
607789.zip,Borovany u Milevska [607789]
607746.zip,Borovany [607746]
763446.zip,Borovec [763446]
747327.zip,Borovice u Horšovského Týna [747327]
661279.zip,Borovice [661279]
607797.zip,Borovná [607797]
702056.zip,Borovnice u Českých Budějovic [702056]
607886.zip,Borovnice u Jimramova [607886]
607819.zip,Borovnice u Potštejna [607819]
607851.zip,Borovnice u Staré Paky [607851]
607801.zip,Borovnice [607801]
607860.zip,Borovnička [607860]
607894.zip,Borovník [607894]
930172.zip,Borovno v Brdech [930172]
607908.zip,Borovno [607908]
607932.zip,Borovsko [607932]
607941.zip,Borovy [607941]
607975.zip,Boršice u Blatnice [607975]
607983.zip,Boršice u Buchlovic [607983]
608025.zip,Boršov nad Vltavou [608025]
678520.zip,Boršov u Kyjova [678520]
687162.zip,Boršov u Loučovic [687162]
607991.zip,Boršov u Moravské Třebové [607991]
608009.zip,Boršov [608009]
608041.zip,Borušov [608041]
608602.zip,Bořanovice u Vimperka [608602]
608076.zip,Bořanovice [608076]
608084.zip,Bořeňovice [608084]
608131.zip,Bořenovice [608131]
608157.zip,Bořetice u Hustopečí [608157]
606308.zip,Bořetice u Kolína [606308]
608149.zip,Bořetice [608149]
608165.zip,Bořetín u Strmilova [608165]
608173.zip,Bořetín [608173]
608181.zip,Bořice u Domažlic [608181]
608190.zip,Bořice u Hrochova Týnce [608190]
756822.zip,Bořice u Mirotic [756822]
608220.zip,Boříkovy [608220]
608254.zip,Bořislav [608254]
608262.zip,Bořitov [608262]
749311.zip,Bořkov [749311]
683434.zip,Bořkovice [683434]
608271.zip,Boseň [608271]
608327.zip,Boskovice [608327]
608491.zip,Boskovštejn [608491]
608505.zip,Bosonohy [608505]
787922.zip,Bosyně [787922]
761249.zip,Bošice u Kouřimi [761249]
608513.zip,Bošice [608513]
608572.zip,Bošilec [608572]
748510.zip,Bošín u Chocně [748510]
676284.zip,Bošín [676284]
644048.zip,Bošířany [644048]
608581.zip,Boškov [608581]
734004.zip,Boškůvky [734004]
624161.zip,Bošovice u Čížové [624161]
608599.zip,Bošovice [608599]
780332.zip,Boubín [780332]
608611.zip,Boubská [608611]
629871.zip,Boučí [629871]
695483.zip,Boudy [695483]
608645.zip,Bousín [608645]
608661.zip,Bousov [608661]
608696.zip,Bouzov [608696]
770060.zip,Bozdíš [770060]
608742.zip,Bozkov [608742]
608769.zip,Božanov [608769]
672343.zip,Božec [672343]
794503.zip,Božejov u Nových Hradů [794503]
608777.zip,Božejov [608777]
608793.zip,Božejovice [608793]
608840.zip,Božetice [608840]
707660.zip,Božetín [707660]
608866.zip,Boží Dar [608866]
608882.zip,Božice [608882]
608939.zip,Božičany [608939]
790524.zip,Božíkov [790524]
697532.zip,Božkov u Mnichovic [697532]
722294.zip,Božkov [722294]
632015.zip,Božkovice [632015]
782688.zip,Božtěšice na Šumavě [782688]
608955.zip,Božtěšice [608955]
724521.zip,Brada [724521]
608963.zip,Bradáčov [608963]
608980.zip,Bradlec [608980]
608998.zip,Bradlecká Lhota [608998]
742252.zip,Bradlné [742252]
779466.zip,Bradlo [779466]
618209.zip,Bradné [618209]
604071.zip,Brambory [604071]
609005.zip,Braňany [609005]
771180.zip,Brandlín u Tučap [771180]
609021.zip,Brandlín [609021]
609030.zip,Brandov [609030]
609048.zip,Brandýs nad Labem [609048]
609277.zip,Brandýs nad Orlicí [609277]
609285.zip,Brandýsek [609285]
609307.zip,Branice [609307]
727873.zip,Braník [727873]
609340.zip,Braníškov [609340]
627844.zip,Branišov na Šumavě [627844]
794066.zip,Branišov nad Pernštejnem [794066]
609358.zip,Branišov pod Křemešníkem [609358]
633615.zip,Branišov u Dubného [633615]
609366.zip,Branišov u Jihlavy [609366]
792527.zip,Branišov u Zdíkovce [792527]
627020.zip,Branišov [627020]
739766.zip,Branišovice u Ratiboře [739766]
745642.zip,Branišovice u Římova [745642]
609374.zip,Branišovice [609374]
609382.zip,Branka u Opavy [609382]
636967.zip,Branka u Tachova [636967]
609391.zip,Brankovice [609391]
609404.zip,Branky [609404]
